datetime,open,high,low,close,volume
2022-01-07 14:00:00,3166.5,3226.92,3040.77,3130.02,385797.299
2022-01-07 16:00:00,3130.13,3224.0,3087.62,3202.52,309147.863
2022-01-07 18:00:00,3202.52,3209.13,3142.76,3195.96,122017.642
2022-01-07 20:00:00,3195.97,3224.32,3181.58,3213.51,85342.973
2022-01-07 22:00:00,3213.5,3214.88,3164.06,3196.58,78564.452
2022-01-08 00:00:00,3196.58,3246.54,3187.34,3216.8,131946.996
2022-01-08 02:00:00,3216.8,3221.65,3179.4,3202.85,103744.688
2022-01-08 04:00:00,3202.86,3226.0,3201.0,3214.08,53595.766
2022-01-08 06:00:00,3214.07,3227.96,3190.05,3215.31,60616.677
2022-01-08 08:00:00,3215.3,3240.0,3206.6,3239.38,83657.25
2022-01-08 10:00:00,3239.38,3248.03,3207.47,3218.33,93689.582
2022-01-08 12:00:00,3218.34,3229.23,3174.72,3199.76,112551.084
2022-01-08 14:00:00,3199.76,3204.97,3145.79,3159.67,134360.151
2022-01-08 16:00:00,3159.66,3179.69,3033.25,3038.4,279154.233
2022-01-08 18:00:00,3038.4,3079.79,2996.45,3028.14,448660.108
2022-01-08 20:00:00,3028.14,3104.83,3002.14,3077.72,223664.16
2022-01-08 22:00:00,3077.67,3131.69,3075.0,3080.03,134245.46
2022-01-09 00:00:00,3079.86,3133.85,3057.0,3113.44,134745.536
2022-01-09 02:00:00,3113.45,3145.45,3108.64,3119.04,85502.042
2022-01-09 04:00:00,3119.04,3144.65,3114.27,3121.52,66972.196
2022-01-09 06:00:00,3121.54,3139.27,3117.0,3125.35,58052.53
2022-01-09 08:00:00,3125.36,3137.41,3091.19,3095.41,101132.376
2022-01-09 10:00:00,3095.12,3132.0,3082.16,3126.82,92085.371
2022-01-09 12:00:00,3126.82,3133.0,3085.0,3085.14,106132.11
2022-01-09 14:00:00,3085.14,3117.98,3072.81,3096.81,118561.449
2022-01-09 16:00:00,3096.84,3175.7,3090.63,3164.69,183856.781
2022-01-09 18:00:00,3164.69,3208.1,3161.2,3201.08,126992.215
2022-01-09 20:00:00,3201.09,3209.4,3182.0,3187.14,63127.741
2022-01-09 22:00:00,3187.14,3197.73,3142.61,3150.0,93688.445
2022-01-10 00:00:00,3149.99,3168.7,3125.88,3149.25,103468.205
2022-01-10 02:00:00,3149.25,3157.99,3139.42,3153.1,51204.851
2022-01-10 04:00:00,3153.0,3179.16,3149.95,3171.71,68228.63
2022-01-10 06:00:00,3171.7,3173.11,3152.64,3161.76,66080.044
2022-01-10 08:00:00,3161.76,3168.07,3136.17,3145.1,82529.074
2022-01-10 10:00:00,3145.09,3166.99,3092.0,3104.2,174745.747
2022-01-10 12:00:00,3104.2,3110.0,3010.0,3019.51,278094.93
2022-01-10 14:00:00,3019.74,3043.79,2924.78,3004.19,729402.76
2022-01-10 16:00:00,3004.19,3101.45,2965.01,3010.45,434218.119
2022-01-10 18:00:00,3010.45,3060.0,3001.25,3028.85,153528.069
2022-01-10 20:00:00,3028.9,3095.95,3017.81,3073.62,125003.886
2022-01-10 22:00:00,3073.62,3086.21,3053.01,3081.31,55790.25
2022-01-11 00:00:00,3081.25,3090.22,3050.58,3090.22,82818.017
2022-01-11 02:00:00,3090.21,3127.74,3084.69,3118.04,93974.663
2022-01-11 04:00:00,3118.04,3122.82,3100.01,3109.33,56956.417
2022-01-11 06:00:00,3109.34,3135.0,3095.95,3127.55,61830.939
2022-01-11 08:00:00,3127.56,3145.79,3096.07,3121.9,144785.151
2022-01-11 10:00:00,3121.98,3131.42,3087.46,3108.91,113504.35
2022-01-11 12:00:00,3108.9,3134.2,3102.83,3111.9,98237.635
2022-01-11 14:00:00,3111.89,3157.64,3073.51,3132.05,267300.126
2022-01-11 16:00:00,3132.04,3262.66,3128.0,3230.3,398822.911
2022-01-11 18:00:00,3230.09,3248.29,3214.9,3234.8,115837.295
2022-01-11 20:00:00,3234.81,3247.18,3224.03,3228.77,52072.467
2022-01-11 22:00:00,3228.78,3245.93,3220.83,3236.86,47363.775
2022-01-12 00:00:00,3236.86,3257.27,3222.0,3229.5,74279.622
2022-01-12 02:00:00,3229.51,3238.0,3214.97,3232.98,43636.775
2022-01-12 04:00:00,3232.99,3242.29,3218.0,3228.59,42325.84
2022-01-12 06:00:00,3228.6,3260.79,3203.85,3216.14,114719.329
2022-01-12 08:00:00,3216.01,3277.0,3213.26,3259.08,122792.889
2022-01-12 10:00:00,3259.08,3295.0,3237.11,3269.98,144703.68
2022-01-12 12:00:00,3269.98,3375.36,3266.6,3366.99,325960.232
2022-01-12 14:00:00,3366.99,3384.25,3347.17,3360.27,202724.166
2022-01-12 16:00:00,3360.28,3386.5,3334.4,3378.58,128952.95
2022-01-12 18:00:00,3378.71,3392.0,3360.0,3379.77,79425.668
2022-01-12 20:00:00,3379.77,3411.0,3363.68,3364.7,103827.261
2022-01-12 22:00:00,3364.7,3378.76,3355.0,3369.93,52106.237
2022-01-13 00:00:00,3369.92,3382.87,3330.0,3332.72,96031.613
2022-01-13 02:00:00,3332.72,3346.0,3313.95,3336.98,65436.212
2022-01-13 04:00:00,3336.98,3351.99,3321.87,3335.55,70587.5
2022-01-13 06:00:00,3335.53,3346.93,3330.11,3339.71,37671.593
2022-01-13 08:00:00,3339.7,3373.6,3335.36,3360.48,71790.618
2022-01-13 10:00:00,3360.53,3377.56,3327.97,3332.38,99311.772
2022-01-13 12:00:00,3332.37,3375.75,3330.89,3370.64,89209.13
2022-01-13 14:00:00,3370.64,3408.89,3271.03,3300.21,350517.986
2022-01-13 16:00:00,3300.2,3318.0,3246.6,3280.86,207222.2
2022-01-13 18:00:00,3280.86,3295.62,3248.26,3270.63,109610.375
2022-01-13 20:00:00,3270.62,3278.77,3230.97,3269.62,114683.894
2022-01-13 22:00:00,3269.63,3276.14,3232.88,3240.36,62200.171
2022-01-14 00:00:00,3240.32,3268.99,3222.0,3257.25,96512.604
2022-01-14 02:00:00,3257.26,3274.25,3244.86,3265.68,51277.499
2022-01-14 04:00:00,3265.67,3305.85,3265.6,3303.95,70792.689
2022-01-14 06:00:00,3303.96,3312.25,3262.98,3267.55,83276.84
2022-01-14 08:00:00,3267.55,3273.37,3238.77,3261.33,101008.316
2022-01-14 10:00:00,3261.34,3267.56,3190.41,3200.77,177168.262
2022-01-14 12:00:00,3200.77,3228.88,3181.2,3208.33,138771.132
2022-01-14 14:00:00,3208.33,3299.89,3202.01,3276.93,238584.937
2022-01-14 16:00:00,3276.93,3307.5,3257.28,3278.23,125138.901
2022-01-14 18:00:00,3278.24,3327.76,3270.12,3306.76,93904.618
2022-01-14 20:00:00,3306.75,3342.63,3296.7,3329.67,65959.882
2022-01-14 22:00:00,3329.67,3331.76,3291.45,3305.6,67398.587
2022-01-15 00:00:00,3305.61,3323.6,3294.1,3302.04,44572.568
2022-01-15 02:00:00,3301.97,3321.0,3296.09,3306.19,44940.734
2022-01-15 04:00:00,3306.19,3315.97,3292.35,3307.33,47415.325
2022-01-15 06:00:00,3307.33,3320.0,3302.01,3313.48,32252.286
2022-01-15 08:00:00,3313.49,3332.88,3308.08,3329.61,56218.794
2022-01-15 10:00:00,3329.61,3338.1,3311.96,3317.01,48204.44
2022-01-15 12:00:00,3317.01,3318.8,3257.59,3301.47,162213.63
2022-01-15 14:00:00,3301.38,3368.89,3291.62,3360.56,158611.326
2022-01-15 16:00:00,3360.55,3372.0,3346.0,3349.3,69747.02
2022-01-15 18:00:00,3349.31,3349.6,3338.0,3348.31,33637.54
2022-01-15 20:00:00,3348.31,3369.0,3325.0,3331.81,67404.947
2022-01-15 22:00:00,3331.81,3342.34,3321.45,3324.05,43801.523
2022-01-16 00:00:00,3324.06,3335.05,3313.82,3319.11,41471.395
2022-01-16 02:00:00,3319.12,3324.9,3293.26,3312.43,56615.846
